Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,RM,14,8,10,80.0,93,22,5,6,83.3,2,2,100.0,0,0,0,0,0.0,0.0,1,1,0,0,3,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,N,RM,15,7,10,70.0,91,21,5,7,71.4,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,"CM,RM",33,15,16,93.8,264,88,7,7,100.0,7,7,100.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,RM,26,17,17,100.0,218,60,13,13,100.0,4,4,100.0,0,0,0,0,0.0,0.0,0,1,2,0,2,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,RM,35,24,30,80.0,386,80,12,13,92.3,9,11,81.8,2,4,50.0,0,0.0,0.1,1,1,2,0,6,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,"RM,LM",90,36,45,80.0,602,188,20,25,80.0,11,12,91.7,5,7,71.4,0,0.1,0.6,1,3,4,1,8,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,"RW,RM",90,39,47,83.0,655,136,18,19,94.7,17,17,100.0,4,5,80.0,0,0.0,0.1,1,3,2,1,5,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,LM,45,13,18,72.2,195,41,8,9,88.9,5,7,71.4,0,0,0,0,0.0,0.0,1,2,2,0,2,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,N,RM,29,31,31,100.0,534,103,16,16,100.0,11,11,100.0,3,3,100.0,0,0.0,0.0,0,1,2,0,5,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,"RW,RM",90,43,58,74.1,644,142,20,24,83.3,20,23,87.0,1,5,20.0,0,0.0,0.0,0,4,0,0,4,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,N,LM,32,15,16,93.8,193,54,7,7,100.0,7,7,100.0,0,0,0,0,0.0,0.0,0,1,0,0,1,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,N,LM,25,14,19,73.7,268,93,6,6,100.0,4,5,80.0,4,7,57.1,1,0.7,0.8,2,1,1,1,1,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,Y,RM,90,55,65,84.6,1018,247,24,27,88.9,25,28,89.3,6,9,66.7,0,0.0,0.1,0,6,3,1,11,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,N,LM,8,5,5,100.0,89,26,2,2,100.0,3,3,100.0,0,0,0,0,0.0,0.0,0,2,0,0,2,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,N,RM,6,1,4,25.0,14,0,1,3,33.3,0,0,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Match Report
